Country,Year95to99,Year00to04,Year05to09,info
Grenada,36.32031323,30.05837768,30.92014794,GrossCapitalInvestment(%ofGDP)
Guam,,,,GrossCapitalInvestment(%ofGDP)
Guatemala,15.2351884,19.83912257,18.13881997,GrossCapitalInvestment(%ofGDP)
Guinea,20.49405681,18.44641253,17.56961427,GrossCapitalInvestment(%ofGDP)
Guinea-Bissau,19.49747868,11.98189514,,GrossCapitalInvestment(%ofGDP)
Guyana,30.17850838,22.27831691,24.89955528,GrossCapitalInvestment(%ofGDP)
Haiti,26.49044205,27.2591612,28.69966693,GrossCapitalInvestment(%ofGDP)
Honduras,32.09080827,26.69884631,29.10848081,GrossCapitalInvestment(%ofGDP)
Hong Kong. China,30.6700281,23.87443275,20.99657641,GrossCapitalInvestment(%ofGDP)
Hungary,24.86977125,25.31363308,22.51637279,GrossCapitalInvestment(%ofGDP)
Iceland,20.18452613,21.19572109,26.30608533,GrossCapitalInvestment(%ofGDP)
India,24.27041054,26.63455034,35.89385569,GrossCapitalInvestment(%ofGDP)
Indonesia,24.50265284,23.16877959,26.84333476,GrossCapitalInvestment(%ofGDP)
Iran,32.68189771,34.64781815,32.80317143,GrossCapitalInvestment(%ofGDP)
Iraq,,,,GrossCapitalInvestment(%ofGDP)
Ireland,21.28852376,23.28582673,23.42781161,GrossCapitalInvestment(%ofGDP)
Isle of Man,,,,GrossCapitalInvestment(%ofGDP)
Israel,23.31927394,19.23117747,18.47305252,GrossCapitalInvestment(%ofGDP)
Italy,19.72925811,20.94757735,21.12265776,GrossCapitalInvestment(%ofGDP)
Jamaica,28.98765034,,25.2574251,GrossCapitalInvestment(%ofGDP)
Japan,27.33191461,23.82997648,22.96099243,GrossCapitalInvestment(%ofGDP)
Jordan,26.51697024,22.31394512,25.73707769,GrossCapitalInvestment(%ofGDP)
Kazakhstan,18.8414545,27.45075796,31.19002831,GrossCapitalInvestment(%ofGDP)
Kenya,16.83574064,16.95745839,18.7545599,GrossCapitalInvestment(%ofGDP)
Kiribati,,,,GrossCapitalInvestment(%ofGDP)
Korea. Dem. Rep.,,,,GrossCapitalInvestment(%ofGDP)
Korea. Rep.,33.32625689,29.7484184,29.244868,GrossCapitalInvestment(%ofGDP)
Kosovo,,,26.9537045,GrossCapitalInvestment(%ofGDP)
Kuwait,15.30164419,15.38405134,17.07564385,GrossCapitalInvestment(%ofGDP)
Kyrgyzstan,19.73756917,16.38687877,24.18609814,GrossCapitalInvestment(%ofGDP)
Laos,,16.99088454,28.45954002,GrossCapitalInvestment(%ofGDP)
Latvia,19.74119629,27.75577891,33.1847046,GrossCapitalInvestment(%ofGDP)
Lebanon,30.33955908,20.66252903,27.44544129,GrossCapitalInvestment(%ofGDP)
Lesotho,64.21819892,34.77408718,24.54236565,GrossCapitalInvestment(%ofGDP)
Liberia,,8.065062318,19.11078195,GrossCapitalInvestment(%ofGDP)
Libya,12.63466884,14.57967263,21.05556047,GrossCapitalInvestment(%ofGDP)
Liechtenstein,,,,GrossCapitalInvestment(%ofGDP)
Lithuania,22.47988803,20.6894081,23.68633603,GrossCapitalInvestment(%ofGDP)
Luxembourg,21.86287157,22.70966997,20.33077921,GrossCapitalInvestment(%ofGDP)
Macao. China,21.17562527,12.63498292,29.72274535,GrossCapitalInvestment(%ofGDP)
Macedonia. FYR,20.7560764,20.61302696,24.03485771,GrossCapitalInvestment(%ofGDP)
Madagascar,13.01904136,17.81583705,30.64501127,GrossCapitalInvestment(%ofGDP)
Malawi,13.88661335,15.98332667,25.29560126,GrossCapitalInvestment(%ofGDP)
Malaysia,35.42990958,24.37120039,19.1525937,GrossCapitalInvestment(%ofGDP)
Maldives,31.7379717,22.89944454,40.94606881,GrossCapitalInvestment(%ofGDP)
