Country,Year95to99,Year00to04,Year05to09,info
Gibraltar,,,,Averge GDP (constant 2000 US$)
Greece,1.11629E+11,1.357E+11,1.60084E+11,Averge GDP (constant 2000 US$)
Greenland,935877231.4,1076631541,1184031279,Averge GDP (constant 2000 US$)
Grenada,402421155.9,519974222.9,589266667.1,Averge GDP (constant 2000 US$)
Guadeloupe,,,,Averge GDP (constant 2000 US$)
Guam,,,,Averge GDP (constant 2000 US$)
Guatemala,17175598096,20448608316,24605105307,Averge GDP (constant 2000 US$)
Guernsey,,,,Averge GDP (constant 2000 US$)
Guinea,2789152437,3344980743,5188936722,Averge GDP (constant 2000 US$)
Guinea-Bissau,221059055,206982312.6,222745363.5,Averge GDP (constant 2000 US$)
Guyana,686698178.4,731932496.5,813410496.1,Averge GDP (constant 2000 US$)
Haiti,3447612523,3608105408,3737470371,Averge GDP (constant 2000 US$)
Holy See,,,,Averge GDP (constant 2000 US$)
Honduras,6536341365,7661187603,9867362749,Averge GDP (constant 2000 US$)
Hong Kong. China,1.55043E+11,1.76772E+11,2.28103E+11,Averge GDP (constant 2000 US$)
Hungary,41873600336,50339054918,58099020176,Averge GDP (constant 2000 US$)
Iceland,7582248216,9211123260,11423937254,Averge GDP (constant 2000 US$)
India,4.01816E+11,5.30366E+11,7.75497E+11,Averge GDP (constant 2000 US$)
Indonesia,1.64781E+11,1.7975E+11,2.3329E+11,Averge GDP (constant 2000 US$)
Iran,90973057550,1.13437E+11,1.47785E+11,Averge GDP (constant 2000 US$)
Iraq,21576453601,20898698325,21106636845,Averge GDP (constant 2000 US$)
Ireland,,1.07681E+11,1.29906E+11,Averge GDP (constant 2000 US$)
Isle of Man,1196622662,1752386964,2228111193,Averge GDP (constant 2000 US$)
Israel,1.06266E+11,1.2621E+11,1.52145E+11,Averge GDP (constant 2000 US$)
Italy,1.03405E+12,1.1272E+12,1.17306E+12,Averge GDP (constant 2000 US$)
Jamaica,9026678550,9371254465,10086341851,Averge GDP (constant 2000 US$)
Japan,4.63759E+12,4.80786E+12,5.07722E+12,Averge GDP (constant 2000 US$)
Jersey,,,,Averge GDP (constant 2000 US$)
Jordan,7640635918,9455591280,13432515120,Averge GDP (constant 2000 US$)
Kazakhstan,16370754937,22814697012,34858282817,Averge GDP (constant 2000 US$)
Kenya,12035319526,13412766412,16817064412,Averge GDP (constant 2000 US$)
Kiribati,57423881.38,70416588.42,75170304.33,Averge GDP (constant 2000 US$)
North Korea,,,,Averge GDP (constant 2000 US$)
South Korea,4.62812E+11,5.86436E+11,7.20558E+11,Averge GDP (constant 2000 US$)
"United Korea (former)",,,,Averge GDP (constant 2000 US$)
Kosovo,,2301750485,2949474326,Averge GDP (constant 2000 US$)
Kuwait,35390993684,42269558986,60385815069,Averge GDP (constant 2000 US$)
Kyrgyz Republic,1187847467,1490108423,1850988758,Averge GDP (constant 2000 US$)
Lao,1456754849,1949079091,2750584754,Averge GDP (constant 2000 US$)
Latvia,6624578401,9092787799,12790680297,Averge GDP (constant 2000 US$)
Lebanon,16726909069,18696104962,23078852103,Averge GDP (constant 2000 US$)
Lesotho,667188894.5,793014578.2,941559233.3,Averge GDP (constant 2000 US$)
Liberia,253916337.6,628457240.2,756054547,Averge GDP (constant 2000 US$)
Libya,32687175382,34460815307,45964178258,Averge GDP (constant 2000 US$)
Liechtenstein,2051810894,2450250172,2834645237,Averge GDP (constant 2000 US$)
Lithuania,10309723750,13298865000,18376011250,Averge GDP (constant 2000 US$)
Luxembourg,16491272032,21516727858,25944478613,Averge GDP (constant 2000 US$)
Macao. China,6069884770,7336867184,13107359240,Averge GDP (constant 2000 US$)
Macedonia. FYR,3226785721,3546340026,4260591908,Averge GDP (constant 2000 US$)
Madagascar,3426991848,3933591255,4774872194,Averge GDP (constant 2000 US$)
Malawi,1593942952,1747636661,2230801621,Averge GDP (constant 2000 US$)
Malaysia,82164295210,1.00954E+11,1.30726E+11,Averge GDP (constant 2000 US$)
Maldives,507335426.2,725534691.3,1048248816,Averge GDP (constant 2000 US$)
Mali,2089126812,2822108090,3629756890,Averge GDP (constant 2000 US$)
Malta,3378743966,3972154297,4371756523,Averge GDP (constant 2000 US$)
Marshall Islands,114467872.3,117600619.3,126047594.6,Averge GDP (constant 2000 US$)
Martinique,,,,Averge GDP (constant 2000 US$)
