Country,Year95to99,Year00to04,Year05to09,info
Abkhazia,,,Avg. Income/pp $USD
Afghanistan,,,Avg. Income/pp $USD
Akrotiri and Dhekelia,,,Avg. Income/pp $USD
Guinea-Bissau,189.2404424,160.677156,156.2513677,Avg. Income/pp $USD
Guyana,940.9548679,991.428419,1084.576862,Avg. Income/pp $USD
Haiti,420.9534932,404.2519616,388.9082772,Avg. Income/pp $USD
Holy See,,,,Avg. Income/pp $USD
Honduras,1120.149196,1181.405526,1376.782386,Avg. Income/pp $USD
Hong Kong. China,24462.10792,26667.81975,33620.07969,Avg. Income/pp $USD
Hungary,4071.107221,4956.367443,5778.084381,Avg. Income/pp $USD
Iceland,27876.74312,32075.55423,36900.84233,Avg. Income/pp $USD
India,401.0118968,486.5400482,659.4931769,Avg. Income/pp $USD
Indonesia,804.2240454,820.0632952,1002.811454,Avg. Income/pp $USD
Iran,1466.681225,1686.888408,2067.208886,Avg. Income/pp $USD
Iraq,938.1674997,822.4645702,718.9511291,Avg. Income/pp $USD
Ireland,20395.73728,27343.8772,29996.65459,Avg. Income/pp $USD
Isle of Man,16146.41706,22398.45209,27635.55501,Avg. Income/pp $USD
Israel,18202.48146,19247.64016,21139.27983,Avg. Income/pp $USD
Italy,18178.22482,19647.10027,19755.21843,Avg. Income/pp $USD
Jamaica,3567.638361,3492.029403,,Avg. Income/pp $USD
Japan,36785.57435,37740.48997,39754.69079,Avg. Income/pp $USD
Jersey,,,,Avg. Income/pp $USD
Jordan,1716.338893,1872.695787,2367.11674,Avg. Income/pp $USD
Kazakhstan,1067.460694,1530.123777,2240.461411,Avg. Income/pp $USD
Kenya,416.3250232,407.4440774,448.5160412,Avg. Income/pp $USD
Kiribati,725.1592361,807.4999165,757.0741375,Avg. Income/pp $USD
North Korea,,,,Avg. Income/pp $USD
South Korea,10081.3762,12320.68009,14807.46619,Avg. Income/pp $USD
"United Korea (former)",,,,Avg. Income/pp $USD
Kosovo,,1352.01837,1700.146955,Avg. Income/pp $USD
Kuwait,20714.32151,20388.19184,24654.81074,Avg. Income/pp $USD
Kyrgyz Republic,252.4916206,298.020525,350.8532789,Avg. Income/pp $USD
Lao,290.1712139,354.263467,462.8349753,Avg. Income/pp $USD
Latvia,2723.794861,3888.091776,5617.459409,Avg. Income/pp $USD
Lebanon,4663.920902,4827.683567,5582.991256,Avg. Income/pp $USD
Lesotho,357.5382825,394.8146794,446.6138438,Avg. Income/pp $USD
Liberia,102.8982556,210.7858902,215.2998349,Avg. Income/pp $USD
Libya,6366.402935,6333.467162,7628.130974,Avg. Income/pp $USD
Liechtenstein,64609.09984,72911.48773,80388.66961,Avg. Income/pp $USD
Lithuania,2885.594738,3837.583302,5444.15541,Avg. Income/pp $USD
Luxembourg,39264.54459,48153.64947,53680.2119,Avg. Income/pp $USD
Macao. China,14778.00777,16227.01631,25835.3509,Avg. Income/pp $USD
Macedonia. FYR,1627.180505,1754.10602,2080.328306,Avg. Income/pp $USD
Madagascar,244.7897272,240.9073213,251.2689915,Avg. Income/pp $USD
Malawi,153.7046959,147.4323711,159.2517643,Avg. Income/pp $USD
Malaysia,3770.307554,4114.520098,4817.865221,Avg. Income/pp $USD
Maldives,1954.910483,2558.15464,3389.752914,Avg. Income/pp $USD
Mali,200.8596418,234.4033838,258.4299121,Avg. Income/pp $USD
Malta,9004.409261,10082.85897,10685.15125,Avg. Income/pp $USD
Marshall Islands,2218.9817,2259.004878,2396.385839,Avg. Income/pp $USD
Martinique,,,,Avg. Income/pp $USD
Mauritania,494.2389933,487.9327605,593.4400478,Avg. Income/pp $USD
Mauritius,3354.924983,4015.827515,4645.927835,Avg. Income/pp $USD
Mayotte,,,,Avg. Income/pp $USD
Mexico,5204.002562,5765.365029,6146.059327,Avg. Income/pp $USD
